mask_path,label,image_path
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (133)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (134)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (135)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (136)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (137)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (138)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (139)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (14)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (140)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (141)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (142)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (143)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (144)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (145)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (146)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (147)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (148)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (149)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (15)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (150)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (151)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (152)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (153)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (154)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (155)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (156)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (157)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (158)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (159)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (16)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (160)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (161)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (162)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (163)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (163)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (164)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (165)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (166)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (167)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (168)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (169)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (17)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (170)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (171)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (172)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (173)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (173)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (174)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (175)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (176)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (177)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (178)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (179)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (18)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (180)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (181)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (181)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (182)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (183)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (184)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (185)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (186)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (187)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (188)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (189)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (19)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (190)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (191)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (192)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (193)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (194)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (195)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (195)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (195)_mask_2.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (196)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (197)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (198)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (199)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (2)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (20)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (200)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (201)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (202)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (203)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (204)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (205)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (206)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (207)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (208)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (209)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (21)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (210)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (211)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (212)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (213)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (214)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (215)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (216)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (217)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (218)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (219)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (22)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (220)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (221)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (222)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (223)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (224)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (225)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (226)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (227)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (228)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (229)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (23)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (230)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (231)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (232)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (233)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (234)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (235)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (236)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (237)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (238)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (239)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (24)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (240)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (241)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (242)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (243)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (244)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (245)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (246)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (247)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (248)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (249)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (25)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (25)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (250)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (251)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (252)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (253)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (254)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (255)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (256)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (257)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (258)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (259)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (26)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (260)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (261)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (262)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (263)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (264)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (265)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (266)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (267)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (268)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (269)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (27)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (270)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (271)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (272)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (273)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (274)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (275)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (276)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (277)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (278)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (279)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (28)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (280)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (281)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (282)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (283)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (284)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (285)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (286)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (287)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (288)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (289)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (29)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (290)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (291)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (292)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (293)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (294)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (295)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (296)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (297)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (298)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (299)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (3)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (30)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (300)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (301)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (302)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (303)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (304)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (305)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (306)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (307)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (308)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (309)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (31)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (310)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (311)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (312)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (313)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (314)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (315)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (315)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (316)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (317)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (318)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (319)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (32)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (320)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (321)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (322)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (323)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (324)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (325)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (326)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (327)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (328)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (329)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (33)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (330)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (331)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (332)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (333)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (334)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (335)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (336)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (337)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (338)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (339)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (34)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (340)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (341)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (342)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (343)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (344)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (345)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (346)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (346)_mask_1.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (347)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (348)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (349)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (35)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (350)_mask.png,benign,
Datasets\Dataset_BUSI\Dataset_BUSI_with_GT\benign\benign (351)_mask.png,benign,
